+----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+
|  q\P      |  0.90     |  0.91     |  0.92     |  0.93     |  0.94     |  0.95     |  0.96     |  0.97     |  0.98     |  0.99     |
+----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+
| 0.005000 | -0.956273 | -0.956075 | -0.956274 | -0.956275 | -0.956273 | -0.956196 | -0.956258 | -0.956269 | -0.956259 | -0.956275 |
| 0.010000 | -0.956271 | -0.955879 | -0.954214 | -0.956122 | -0.954255 | -0.953300 | -0.955422 | -0.955516 | -0.956123 | -0.956232 |
| 0.015000 | -0.955953 | -0.956275 | -0.952472 | -0.956230 | -0.955366 | -0.955210 | -0.956178 | -0.956274 | -0.956259 | -0.956260 |
| 0.020000 | -0.955352 | -0.956011 | -0.954366 | -0.955576 | -0.953118 | -0.955146 | -0.955559 | -0.956217 | -0.955355 | -0.956275 |
| 0.025000 | -0.950650 | -0.952256 | -0.955415 | -0.898924 | -0.956269 | -0.956145 | -0.956249 | -0.956255 | -0.955311 | -0.956274 |
| 0.030000 | -0.956158 | -0.955775 | -0.941280 | -0.934781 | -0.956269 | -0.956275 | -0.956154 | -0.955808 | -0.931888 | -0.956201 |
| 0.035000 | -0.956034 | -0.956241 | -0.954173 | -0.955836 | -0.928694 | -0.953615 | -0.946144 | -0.916242 | -0.944141 | -0.942215 |
| 0.040000 | -0.937932 | -0.952376 | -0.953210 | -0.956238 | -0.956103 | -0.955803 | -0.955806 | -0.956168 | -0.955986 | -0.953260 |
| 0.045000 | -0.950317 | -0.937219 | -0.944298 | -0.933433 | -0.954850 | -0.951713 | -0.941941 | -0.952210 | -0.946617 | -0.955368 |
| 0.050000 | -0.938911 | -0.951639 | -0.955881 | -0.955687 | -0.936205 | -0.946894 | -0.941023 | -0.956254 | -0.954732 | -0.956173 |
| 0.055000 | -0.949411 | -0.953660 | -0.956174 | -0.956247 | -0.953984 | -0.949961 | -0.955448 | -0.953775 | -0.952987 | -0.956179 |
| 0.060000 | -0.934174 | -0.917908 | -0.926580 | -0.908999 | -0.949926 | -0.955985 | -0.952421 | -0.956036 | -0.953780 | -0.953849 |
| 0.065000 | -0.944057 | -0.955713 | -0.889109 | -0.949083 | -0.886306 | -0.949504 | -0.922855 | -0.955949 | -0.939787 | -0.956274 |
| 0.070000 | -0.953533 | -0.956113 | -0.956199 | -0.955790 | -0.902367 | -0.888388 | -0.888630 | -0.947955 | -0.954504 | -0.942033 |
| 0.075000 | -0.893630 | -0.910529 | -0.946916 | -0.950409 | -0.928769 | -0.916743 | -0.956229 | -0.935100 | -0.909442 | -0.955463 |
| 0.080000 | -0.936064 | -0.951139 | -0.950574 | -0.954740 | -0.949345 | -0.949673 | -0.926446 | -0.853762 | -0.951471 | -0.956182 |
| 0.085000 | -0.940373 | -0.951790 | -0.885248 | -0.955966 | -0.930274 | -0.953395 | -0.956201 | -0.955537 | -0.929428 | -0.948373 |
| 0.090000 | -0.953277 | -0.951482 | -0.872955 | -0.946762 | -0.951353 | -0.955182 | -0.951492 | -0.956190 | -0.956031 | -0.929323 |
| 0.095000 | -0.952489 | -0.856020 | -0.906070 | -0.954067 | -0.886158 | -0.938896 | -0.921217 | -0.951289 | -0.848269 | -0.955680 |
+----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+
